Date,Volatility % (Daily mean / Day High - Day Low)
2018-10-08,4.3029351029845255
2018-10-05,3.4779553838046797
2018-10-04,3.143210312555185
2018-10-03,3.0329440474115423
2018-10-02,2.511940562533171
2018-10-01,2.4691358024691334
2018-09-28,3.0161206448257967
2018-09-27,2.7659211200273255
2018-09-26,2.2317596566523554
2018-09-25,2.7739251040221813
2018-09-24,4.15461477780699
2018-09-21,4.996577686516088
2018-09-20,2.632467094161327
2018-09-19,2.5351147653305874
2018-09-18,3.014731072285026
2018-09-17,2.9457632992549
2018-09-14,2.3343744862732234
2018-09-13,2.3498262452424323
2018-09-12,5.259653794940075
2018-09-11,3.528078977180773
2018-09-10,2.1366371003301308
2018-09-07,5.129880738441432
2018-09-06,7.330501809029421
2018-09-05,6.516887367951211
2018-09-04,1.8533151354069484
2018-08-31,3.214616392239518
2018-08-30,2.6317633374907157
2018-08-29,2.243999431898876
2018-08-28,3.242633582405184
2018-08-27,4.313280363223619
2018-08-24,1.643137249170176
2018-08-23,2.9798422436459338
2018-08-22,2.4289099526066353
2018-08-21,4.614923584057533
2018-08-20,2.2720294749769567
2018-08-17,2.2925263640531863
2018-08-16,2.2420498741706685
2018-08-15,3.9244565134011333
2018-08-14,2.775039805898853
2018-08-13,4.875076173065187
2018-08-10,2.4482109227871978
2018-08-09,2.406626035318028
2018-08-08,3.003560922743466
2018-08-07,3.204353083434106
2018-08-06,4.9309970538067915
2018-08-03,3.6734063898749842
2018-08-02,4.765612832892066
2018-08-01,3.5284933645589454
2018-07-31,4.437450826121154
2018-07-30,9.76580437777437
2018-07-27,10.004203446826397
2018-07-26,2.9690239625949646
2018-07-25,4.703712243486279
2018-07-24,5.17625014638715
2018-07-23,3.3623188405797166
2018-07-20,2.0604395604395735
2018-07-19,1.7475281673947989
2018-07-18,4.594810835524054
2018-07-17,4.7732156995814945
2018-07-16,1.8501805054151634
2018-07-13,3.1148459383753515
2018-07-12,2.185061315496107
2018-07-11,4.355885078776652
2018-07-10,3.6674541568230294
2018-07-09,10.833895257361206
2018-07-06,4.684763572679511
2018-07-05,3.519061583577718
2018-07-03,3.763440860215053
2018-07-02,5.128205128205128
2018-06-29,3.695358269490763
2018-06-28,5.381884804763543
2018-06-27,5.6507230255839795
2018-06-26,4.075199819880676
2018-06-25,4.941189712420508
2018-06-22,3.3366478842116853
2018-06-21,5.863621390139442
2018-06-20,3.20463057099332
2018-06-19,4.7939068100358435
2018-06-18,3.87058102789445
2018-06-15,4.602376110457023
2018-06-14,5.03833515881708
2018-06-13,2.569287904158124
2018-06-12,4.427023287987092
2018-06-11,2.5015179113539796
2018-06-08,4.561229548834893
2018-06-07,3.8578680203045583
2018-06-06,2.5679758308157
2018-06-05,2.4448645242596068
2018-06-04,5.491681320167709
2018-06-01,4.458066313736401
2018-05-31,2.0803236058942467
2018-05-30,1.6730923110496918
2018-05-29,4.341449105309465
2018-05-25,2.0208023774145603
2018-05-24,1.899065420560763
2018-05-23,2.514008783886107
2018-05-22,2.941176470588247
2018-05-21,3.3619723571161746
2018-05-18,2.3295203495507875
2018-05-17,2.2482234746385745
