Date,Volatility % (Daily mean / Day High - Day Low)
2018-10-08,3.5407375110418324
2018-10-05,2.448007866748334
2018-10-04,3.5638245880948083
2018-10-03,1.0482285104822981
2018-10-02,1.946932933876877
2018-10-01,1.6331972335638811
2018-09-28,0.9168413931619332
2018-09-27,1.5483730346686173
2018-09-26,1.642887294216972
2018-09-25,1.6034787335235858
2018-09-24,2.674512131652401
2018-09-21,2.2194423831230847
2018-09-20,1.3989209774674876
2018-09-19,1.600659853337295
2018-09-18,1.6278282336906449
2018-09-17,1.9911893517267445
2018-09-14,1.0294837679616942
2018-09-13,1.346168629829251
2018-09-12,1.733013260760729
2018-09-11,1.9221215287889997
2018-09-10,1.2361595956567422
2018-09-07,1.5477155118822494
2018-09-06,2.933755292306372
2018-09-05,3.135098961884955
2018-09-04,1.7036030081189288
2018-08-31,2.2343313128839464
2018-08-30,1.6925292210665337
2018-08-29,1.149970647602366
2018-08-28,1.121704083779795
2018-08-27,1.4071556741912006
2018-08-24,1.2594676298697443
2018-08-23,1.4050595336257763
2018-08-22,1.0651888968160406
2018-08-21,1.3989022216155695
2018-08-20,1.3609740483781705
2018-08-17,1.7336459124166734
2018-08-16,1.9311935105309788
2018-08-15,2.1049187033439014
2018-08-14,1.6803049802102805
2018-08-13,1.2590065689050254
2018-08-10,1.105061569445738
2018-08-09,0.7619276048849691
2018-08-08,1.4824554722169891
2018-08-07,1.2061077295424028
2018-08-06,0.8427898062566261
2018-08-03,1.2220559004687046
2018-08-02,2.0610596097212475
2018-08-01,1.9036862436980284
2018-07-31,1.8075037296717489
2018-07-30,1.917110517946856
2018-07-27,3.4245016747242474
2018-07-26,1.6476165142786814
2018-07-25,2.13414025604891
2018-07-24,2.4336813828171264
2018-07-23,2.135296901767129
2018-07-20,1.06170309271422
2018-07-19,1.3997281103670565
2018-07-18,1.1825424663025572
2018-07-17,2.733354678889811
2018-07-16,0.9889127022967774
2018-07-13,1.2982967222638584
2018-07-12,2.433834400129897
2018-07-11,2.0205700801200686
2018-07-10,0.8661083155059371
2018-07-09,0.9790739266086184
2018-07-06,1.7854063590178986
2018-07-05,1.701267453197254
2018-07-03,3.2023758408472838
2018-07-02,3.0785849311369198
2018-06-29,1.1795491322780116
2018-06-28,2.3711637635688234
2018-06-27,2.524760004652289
2018-06-26,1.4711961135532237
2018-06-25,2.758907958115657
2018-06-22,1.319617622610142
2018-06-21,2.152365498619888
2018-06-20,1.454499140291654
2018-06-19,1.4845523979907789
2018-06-18,2.650675180119939
2018-06-15,0.8655143889590364
2018-06-14,1.291749959714467
2018-06-13,1.150937768654481
2018-06-12,0.7980550710850329
2018-06-11,1.6543579832081854
2018-06-08,1.2971118714322707
2018-06-07,1.7137732313949008
2018-06-06,1.521549406278374
2018-06-05,1.1013940752897153
2018-06-04,1.7562613189628613
2018-06-01,1.9382465629930135
2018-05-31,2.7374985564153005
2018-05-30,1.164606498466643
2018-05-29,1.70535424858708
2018-05-25,0.8143428216329496
2018-05-24,1.3341904948244159
2018-05-23,1.780171669412687
2018-05-22,1.8483429930152944
2018-05-21,1.327689496449463
2018-05-18,0.869230552609099
2018-05-17,1.2377509408110547
