Date,Volatility % (Daily mean / Day High - Day Low)
2018-10-08,2.067415730337089
2018-10-05,3.487828236709051
2018-10-04,2.44837501089135
2018-10-03,1.5930922827846725
2018-10-02,1.4760309221908348
2018-10-01,1.3471707220747278
2018-09-28,0.8091406215266942
2018-09-27,1.288946175385575
2018-09-26,1.799282992491718
2018-09-25,1.410105757931847
2018-09-24,2.114686336751237
2018-09-21,1.8556936053801536
2018-09-20,1.41811838796638
2018-09-19,1.9865722431711548
2018-09-18,2.1550447638790757
2018-09-17,2.5805279178592424
2018-09-14,1.9218358472679098
2018-09-13,2.563647653685799
2018-09-12,2.319935257620716
2018-09-11,3.5108730909429107
2018-09-10,2.454827523270668
2018-09-07,2.0893113342898118
2018-09-06,2.6969798283740034
2018-09-05,2.009807155265296
2018-09-04,1.1188872556547733
2018-08-31,1.2618990041110667
2018-08-30,2.600630186837077
2018-08-29,1.8424023481598613
2018-08-28,0.7372684658444475
2018-08-27,1.1078676994506613
2018-08-24,0.8286845211916354
2018-08-23,1.1351789644387893
2018-08-22,1.1715481171548163
2018-08-21,1.467945224539959
2018-08-20,1.8743236086485957
2018-08-17,2.222170675697614
2018-08-16,1.101433613124083
2018-08-15,1.1501658434151794
2018-08-14,1.0983238622797438
2018-08-13,1.553557608706042
2018-08-10,1.1689155061692795
2018-08-09,1.2374694229939145
2018-08-08,1.595809181965897
2018-08-07,1.3164848892519143
2018-08-06,1.0472713297463523
2018-08-03,1.5738967887377848
2018-08-02,3.9292442443666973
2018-08-01,2.230185180544761
2018-07-31,1.4679668658907323
2018-07-30,1.6418810816481735
2018-07-27,2.6421656414648726
2018-07-26,1.2064584028544263
2018-07-25,1.2497417888865874
2018-07-24,0.8348757266143605
2018-07-23,1.2581253931641885
2018-07-20,1.1813904861474225
2018-07-19,1.4964420259522884
2018-07-18,0.979750085138713
2018-07-17,1.4013173432702737
2018-07-16,1.1669037891741683
2018-07-13,0.49119506714740957
2018-07-12,1.1031729354906463
2018-07-11,1.149951283804884
2018-07-10,0.5766789239556069
2018-07-09,0.7263540186325572
2018-07-06,1.7311058415454745
2018-07-05,1.1492082332946643
2018-07-03,2.37422272470322
2018-07-02,2.0932239965472723
2018-06-29,2.3128884085382335
2018-06-28,1.3026674954730935
2018-06-27,1.7505588322426004
2018-06-26,2.162191454195686
2018-06-25,2.291809107069601
2018-06-22,0.7819873264123053
2018-06-21,1.826997776527631
2018-06-20,0.7883517013916815
2018-06-19,1.5576829466169204
2018-06-18,1.073269220551517
2018-06-15,1.0041752550076666
2018-06-14,0.7071950548730949
2018-06-13,1.273087759574245
2018-06-12,0.7614113992823577
2018-06-11,0.9210319744622905
2018-06-08,1.1682426591927024
2018-06-07,0.9649837660237655
2018-06-06,1.1191709844559714
2018-06-05,0.8180170851669604
2018-06-04,1.0759674610806422
2018-06-01,1.3280071955768318
2018-05-31,1.1165424579961019
2018-05-30,0.6510486151875762
2018-05-29,1.001011660720939
2018-05-25,1.0601643254704478
2018-05-24,1.4024796693774138
2018-05-23,1.4642227328595143
2018-05-22,1.1180322632167357
2018-05-21,1.254397488865732
2018-05-18,0.8986463611026648
2018-05-17,1.359021504516739
