Date,Volatility % (Daily mean / Day High - Day Low)
2018-10-08,5.92755214050495
2018-10-05,3.7652270210409733
2018-10-04,4.3196544276457916
2018-10-03,6.205770277626567
2018-10-02,3.5398230088495417
2018-10-01,3.0803080308030926
2018-09-28,2.678571428571431
2018-09-27,2.672605790645882
2018-09-26,4.444444444444429
2018-09-25,2.991452991452985
2018-09-24,3.0303030303030427
2018-09-21,2.4691358024691232
2018-09-20,3.6281179138322024
2018-09-19,5.3222945002956745
2018-09-18,3.921568627450984
2018-09-17,1.990049751243772
2018-09-14,2.7465667915105976
2018-09-13,2.4752475247524663
2018-09-12,3.190184049079753
2018-09-11,2.712700369913695
2018-09-10,2.6862026862026935
2018-09-07,5.754621343913098
2018-09-06,6.220095693779899
2018-09-05,3.38192419825074
2018-09-04,4.55580865603645
2018-08-31,3.167420814479651
2018-08-30,2.4471635150166726
2018-08-29,4.026845637583887
2018-08-28,4.226918798665173
2018-08-27,2.6200873362445436
2018-08-24,4.820567755757911
2018-08-23,1.7241379310344844
2018-08-22,3.3279656468062315
2018-08-21,2.6431718061673837
2018-08-20,3.218390804597694
2018-08-17,2.3201856148492
2018-08-16,4.618937644341785
2018-08-15,7.085883880541645
2018-08-14,2.6431718061673837
2018-08-13,6.126914660831515
2018-08-10,2.603036876355751
2018-08-09,2.5751072961373414
2018-08-08,2.586206896551726
2018-08-07,4.184100418410046
2018-08-06,7.55714440472323
2018-08-03,4.1596402473299525
2018-08-02,3.167420814479651
2018-08-01,5.72737686139748
2018-07-31,5.183585313174951
2018-07-30,5.498289347751955
2018-07-27,13.048128342245993
2018-07-26,3.359462486002248
2018-07-25,4.245810055865931
2018-07-24,4.570184983677909
2018-07-23,3.628367234744366
2018-07-20,4.814004376367609
2018-07-19,3.761418592154752
2018-07-18,5.00544069640913
2018-07-17,3.979057591623045
2018-07-16,6.2241917615067015
2018-07-13,2.69749518304431
2018-07-12,3.2850241545893706
2018-07-11,6.106870229007639
2018-07-10,5.128205128205116
2018-07-09,2.597402597402591
2018-07-06,2.661596958174899
2018-07-05,2.753158589477652
2018-07-03,3.3771106941838593
2018-07-02,2.321083172147004
2018-06-29,3.422053231939158
2018-06-28,3.6929057337220685
2018-06-27,7.040913415794482
2018-06-26,5.702647657841146
2018-06-25,5.829145728643217
2018-06-22,3.369672943508423
2018-06-21,4.065040650406489
2018-06-20,2.799377916018658
2018-06-19,4.690831556503194
2018-06-18,4.046858359957409
2018-06-15,3.243243243243251
2018-06-14,3.0196666003080415
2018-06-13,3.3684210526315814
2018-06-12,5.493387589013216
2018-06-11,4.056646124964296
2018-06-08,6.342494714587733
2018-06-07,7.982740021574976
2018-06-06,4.186046511627901
2018-06-05,4.423748544819546
2018-06-04,8.28667413213886
2018-06-01,4.217536071032176
2018-05-31,4.017857142857156
2018-05-30,5.521126760563363
2018-05-29,4.923798358733879
2018-05-25,7.755581668625148
2018-05-24,3.5010940919037226
2018-05-23,7.700770077007693
2018-05-22,11.416490486257928
2018-05-21,12.004530011325015
2018-05-18,12.846199175014721
2018-05-17,7.7481840193704565
